model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,13,per_sample,43,43,6.515721368789673,10.805191062217535,5.978173732757568,19.670541763305664,10.60805465317693,10.709584156672161,0.09302325581395349,-1.3236373121088252,-1.6708977439186778
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,20,per_sample,43,43,6.6000312805175785,13.075770178506541,6.715936660766602,38.529014587402344,37.9377348616053,13.007302897317071,0.0,-0.11166132832178803,-0.3126633384010997
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,6,cross_model,48,48,5.1519900321960455,13.086277574300766,5.374485969543457,58.07177734375,93.79037113848854,12.494181724304848,0.0,3.627666625441332,4.894322792689005
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,13,cross_model,48,48,6.515721368789673,10.880423247814178,5.6554694175720215,28.47244644165039,18.107755748482074,10.676526921860718,0.041666666666666664,2.2830905573708584,1.9217207431793213
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,20,cross_model,48,48,6.6000312805175785,11.74416403969129,5.5856404304504395,30.644254684448242,26.31664431105159,11.589442476313161,0.041666666666666664,-2.9642589615315953,-1.8274411757787075
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,6,cross_model,45,45,5.1519900321960455,15.24897083706326,4.035459995269775,113.2735595703125,301.27835369261044,13.980931715531783,0.13333333333333333,0.7219962686732218,-0.9512420892715454
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,13,cross_model,45,45,6.515721368789673,10.35210354063246,4.812536716461182,25.708303451538086,19.411903686509937,10.155214938250454,0.13333333333333333,-1.0360040692315522,-1.4241344531377145
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,20,cross_model,45,45,6.6000312805175785,10.973352517022027,5.849940776824951,33.00769805908203,27.07256958174368,10.743025779724121,0.13333333333333333,2.7067655425140886,1.585693359375
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000052,no_think,irrelevant_context,,True,full_output,no_think_full,6,cross_model,57,57,5.1519900321960455,13.850468418054414,4.509893894195557,49.34332275390625,94.11612678093998,13.384199823651997,0.08771929824561403,-5.535935126718286,-3.219483470916746
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000052,no_think,irrelevant_context,,True,full_output,no_think_full,13,cross_model,57,57,6.515721368789673,12.295198942485609,4.077550411224365,55.45515823364258,54.0556813424628,12.110065221786499,0.05263157894736842,0.6015502753145182,1.1634717623392756
