model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000432,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,46,46,4.653426647186279,12.22645642446435,4.924220085144043,29.499893188476562,39.73183787082298,12.106466176774768,0.0,-8.931696931925453,-7.072465141614277,-12.545123100280762
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000432,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,46,46,6.1318488121032715,11.983485076738441,5.720203399658203,26.930479049682617,25.95177401683623,11.889031516181097,0.021739130434782608,-7.025770315299084,-6.055908521016439,-3.640401840209961
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000433,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,45,45,3.094149351119995,15.86784093115065,3.852811574935913,59.64334487915039,180.40773349809524,15.51099341024052,0.0,-14.344547526041655,-13.433552940686544,-77.32496643066406
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000433,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,45,45,4.653426647186279,12.594179683261448,4.185070037841797,55.26526641845703,80.1244570397405,12.515916531736199,0.022222222222222223,-12.242210578918451,-11.029785633087156,-18.910614013671875
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000433,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,45,45,6.1318488121032715,13.868020184834798,4.825062274932861,41.74570083618164,66.585077831774,13.774892937053332,0.13333333333333333,-8.417370738153867,-8.322856028874714,-4.626735687255859
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000472,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,44,44,3.094149351119995,19.98710969361392,3.266077995300293,83.57276153564453,263.7471401122329,19.837247571279836,0.0,-17.555490214896928,-14.504943327470258,-15.158754348754883
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000472,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,44,44,4.653426647186279,12.363270748745311,4.755310535430908,28.172182083129883,33.041483564113754,12.29621298368587,0.0,-4.521251385139698,-3.3529253872958087,-6.7758636474609375
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000472,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,44,44,6.1318488121032715,13.099002296274358,5.461205005645752,27.86863136291504,31.38304569779759,13.136016701543053,0.045454545454545456,-6.195967734943736,-5.3419715274464,-0.930363655090332
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000543,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,50,50,3.094149351119995,17.35666440010071,5.477931022644043,59.778564453125,181.78455731576113,17.128154744907306,0.0,-15.311774468141444,-14.238138565650353,-77.11640930175781
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000543,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,50,50,4.653426647186279,12.488429174423217,4.6951799392700195,41.560821533203125,46.30118987130754,12.416236867710037,0.0,-6.846725671431589,-6.162448076101452,-24.541074752807617
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000543,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,50,50,6.1318488121032715,12.45700608253479,5.179121971130371,25.873395919799805,19.657171713876362,12.38791328546952,0.04,-4.195465492921718,-4.097399711608887,-1.9751358032226562
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000564,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,55,55,3.094149351119995,18.092356699163265,4.027676105499268,82.25312042236328,254.27432477884173,17.88258257618657,0.0,-20.125673692257354,-15.409583398274014,-11.406196594238281
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000564,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,55,55,4.653426647186279,12.03749928040938,4.371720790863037,27.571041107177734,31.59990349699628,11.894971344206068,0.03636363636363636,-7.675272309315646,-6.045960596629552,-9.063424110412598
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000564,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,55,55,6.1318488121032715,13.921286348863081,5.395379543304443,27.283851623535156,41.031105593643595,13.878032649004904,0.03636363636363636,-5.976026567236145,-6.426241261618477,2.4560470581054688
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000605,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,55,55,3.094149351119995,16.8533362085169,2.8055644035339355,59.87826919555664,221.4079503824233,16.55988563873149,0.03636363636363636,-20.848857561953626,-16.340944153921946,9.115558624267578
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000605,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,55,55,4.653426647186279,12.403168158097701,2.520486354827881,34.0915641784668,43.627037660621035,12.25130766409415,0.12727272727272726,-7.8162292297784335,-6.412097999027797,7.711357116699219
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000605,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,55,55,6.1318488121032715,12.387341789765792,3.3604648113250732,27.634061813354492,32.23773934223852,12.204011418201308,0.12727272727272726,-5.804977917361557,-5.233829327992032,2.597820281982422
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000625,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,51,51,3.094149351119995,15.20215559940712,4.621978759765625,58.346248626708984,129.38058392026434,14.944347743988038,0.0,-6.734234304989073,-3.5194828693683338,-27.022985458374023
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000625,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,51,51,4.653426647186279,11.308734220616957,4.395880222320557,21.947113037109375,21.530158798015282,11.19250240325928,0.0196078431372549,-4.712429033685053,-5.067358090327335,-11.532455444335938
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000625,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,51,51,6.1318488121032715,11.921330695058785,5.017693042755127,24.957029342651367,20.415533801876137,11.839471731185915,0.0784313725490196,-4.472080293284265,-4.498238710256723,-6.635100364685059
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000760,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,65,65,3.094149351119995,14.785596165290245,4.040038108825684,47.658935546875,175.2045166009388,14.498488895595074,0.0,-16.497932588804034,-13.517346466288846,-29.903804779052734
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000760,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,65,65,4.653426647186279,12.278593155053946,3.8210561275482178,37.53757858276367,45.94671595208677,12.094491306692362,0.015384615384615385,-9.668235022538203,-9.151236183503094,-8.277149200439453
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000760,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,65,65,6.1318488121032715,11.654893867786114,4.389293193817139,33.18043899536133,23.45762759248713,11.478841349482536,0.07692307692307693,-2.7686291154448055,-3.4619258431827333,-3.0167436599731445
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000776,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,52,52,3.094149351119995,13.944117206793566,4.048603534698486,42.41207504272461,95.10493901145732,13.720212066874783,0.0,-5.932673948077569,-6.808534475473259,4.021145820617676
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000776,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,52,52,4.653426647186279,12.066413503426771,5.266908168792725,28.19462013244629,32.79630077518564,12.002844455195406,0.0,-1.0909963467297608,-1.9738906346834622,-3.048281669616699
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000776,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,52,52,6.1318488121032715,12.624769504253681,5.28298282623291,38.578067779541016,36.406305530188064,12.559408356161676,0.057692307692307696,-2.0782771982544506,-2.9981269102830144,-2.4611997604370117
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000875,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,57,57,3.094149351119995,15.686701540361371,4.32257604598999,62.016422271728516,152.3139197153705,15.513313293457031,0.0,-11.225231629317987,-7.728162638346353,-0.7114410400390625
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000875,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,57,57,4.653426647186279,12.48783979081271,4.624447345733643,36.70526885986328,45.20656666918438,12.37269048179899,0.017543859649122806,-6.911517164019207,-5.089232921600342,-2.5205345153808594
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000875,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,57,57,6.1318488121032715,12.318926656455325,3.917863130569458,25.059925079345703,22.24690854190934,12.16913887006896,0.07017543859649122,-1.9760304319447508,-1.8058339277903244,3.0000505447387695
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000901,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,55,55,3.094149351119995,23.841927324641834,2.696690320968628,71.36790466308594,323.9291100440433,23.416476730947142,0.07272727272727272,-25.90859780714106,-18.21140241622925,-10.810565948486328
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000901,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,55,55,4.653426647186279,14.150146245956421,2.8283567428588867,36.46006393432617,64.44425442134846,14.087135478302283,0.10909090909090909,-11.408133386636688,-8.25930723122188,-9.841852188110352
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000901,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,55,55,6.1318488121032715,14.31016667105935,4.460093021392822,34.93315887451172,44.68068812040351,14.305490308337742,0.14545454545454545,-12.566553441580226,-10.520745107105798,-4.868185043334961
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000915,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,61,61,3.094149351119995,14.597444678916306,3.805483818054199,107.63251495361328,298.1329348507653,14.315843156973521,0.0,-2.01780051746297,-0.14826157689094543,13.198747634887695
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000915,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,61,61,4.653426647186279,11.222887164256612,4.706686019897461,37.38562774658203,33.87667565319737,11.110539611180625,0.0,-1.720851533063685,-1.5109386444091797,3.638090133666992
