model,model_label,model_sort_key,example_id,layer,delta_name,delta,think_correct,no_think_correct
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,13,thinking_minus_no_think_answer,-0.00040864385664463043,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,20,think_answer_minus_no_think_answer,1.816730946302414e-05,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,20,thinking_minus_think_answer,-0.001045016571879387,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,20,thinking_minus_no_think_answer,-0.0010268492624163628,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,6,think_answer_minus_no_think_answer,0.0007594325579702854,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,6,thinking_minus_think_answer,-0.002358625642955303,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,6,thinking_minus_no_think_answer,-0.0015991930849850178,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,13,think_answer_minus_no_think_answer,0.0007949927821755409,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,13,thinking_minus_think_answer,-0.0017658506985753788,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,13,thinking_minus_no_think_answer,-0.0009708579163998378,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,20,think_answer_minus_no_think_answer,-0.0006637531332671634,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,20,thinking_minus_think_answer,-0.0016706085298210382,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000182,20,thinking_minus_no_think_answer,-0.0023343616630882016,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,6,think_answer_minus_no_think_answer,-0.0028941459022462377,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,6,thinking_minus_think_answer,-0.000422621611505746,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,6,thinking_minus_no_think_answer,-0.0033167675137519836,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,13,think_answer_minus_no_think_answer,-0.000536122824996709,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,13,thinking_minus_think_answer,-0.0008452967740595349,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,13,thinking_minus_no_think_answer,-0.001381419599056244,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,20,think_answer_minus_no_think_answer,-0.0002749050036072731,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,20,thinking_minus_think_answer,-0.0013456577435135841,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000199,20,thinking_minus_no_think_answer,-0.0016205627471208572,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,6,think_answer_minus_no_think_answer,0.0029241214506328106,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,6,thinking_minus_think_answer,-0.0035713091492652893,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,6,thinking_minus_no_think_answer,-0.0006471876986324787,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,13,think_answer_minus_no_think_answer,0.0009565986692905417,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,13,thinking_minus_think_answer,-0.0012485305778682223,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,13,thinking_minus_no_think_answer,-0.0002919319085776806,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,20,think_answer_minus_no_think_answer,0.0011609112843871125,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,20,thinking_minus_think_answer,-0.002175348810851575,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000247,20,thinking_minus_no_think_answer,-0.0010144375264644623,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,6,think_answer_minus_no_think_answer,0.0008355923928320408,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,6,thinking_minus_think_answer,-0.0009628511033952236,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,6,thinking_minus_no_think_answer,-0.00012725871056318283,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,13,think_answer_minus_no_think_answer,0.00030745565891265956,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,13,thinking_minus_think_answer,-0.0008475640788674346,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,13,thinking_minus_no_think_answer,-0.000540108419954775,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,20,think_answer_minus_no_think_answer,0.0005638040602207175,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,20,thinking_minus_think_answer,-0.0004885392263531694,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000254,20,thinking_minus_no_think_answer,7.526483386754816e-05,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,6,think_answer_minus_no_think_answer,-0.00040263729169964704,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,6,thinking_minus_think_answer,-0.0006669862195849427,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,6,thinking_minus_no_think_answer,-0.0010696235112845898,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,13,think_answer_minus_no_think_answer,0.0011331923305988312,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,13,thinking_minus_think_answer,-0.0008531557396054268,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,13,thinking_minus_no_think_answer,0.0002800365909934044,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,20,think_answer_minus_no_think_answer,0.000496862456202507,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,20,thinking_minus_think_answer,-0.00077378610149026,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000257,20,thinking_minus_no_think_answer,-0.000276923645287753,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,6,think_answer_minus_no_think_answer,-0.00019402848556637764,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,6,thinking_minus_think_answer,-0.0008768378756940365,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,6,thinking_minus_no_think_answer,-0.0010708663612604141,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,13,think_answer_minus_no_think_answer,0.00021683238446712494,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,13,thinking_minus_think_answer,-0.0008354019373655328,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,13,thinking_minus_no_think_answer,-0.0006185695528984078,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,20,think_answer_minus_no_think_answer,-0.0007775374688208095,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,20,thinking_minus_think_answer,-0.0010423702187836179,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000273,20,thinking_minus_no_think_answer,-0.0018199076876044273,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,6,think_answer_minus_no_think_answer,-0.00031810626387596044,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,6,thinking_minus_think_answer,-0.001085651572793723,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,6,thinking_minus_no_think_answer,-0.0014037578366696835,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,13,think_answer_minus_no_think_answer,0.00023371959105133924,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,13,thinking_minus_think_answer,-0.0007201097905635834,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,13,thinking_minus_no_think_answer,-0.00048639019951224414,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,20,think_answer_minus_no_think_answer,0.0005192174576222897,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,20,thinking_minus_think_answer,-0.0016772923991084107,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000300,20,thinking_minus_no_think_answer,-0.001158074941486121,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,6,think_answer_minus_no_think_answer,-0.0001083235256373891,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,6,thinking_minus_think_answer,-0.002766135148704052,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,6,thinking_minus_no_think_answer,-0.002874458674341441,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,13,think_answer_minus_no_think_answer,0.0004359721206128606,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,13,thinking_minus_think_answer,-0.001499827019870282,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,13,thinking_minus_no_think_answer,-0.0010638548992574215,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,20,think_answer_minus_no_think_answer,0.0005787764675915241,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,20,thinking_minus_think_answer,-0.001633984036743641,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000304,20,thinking_minus_no_think_answer,-0.0010552075691521168,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,6,think_answer_minus_no_think_answer,0.00018951017409563065,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,6,thinking_minus_think_answer,-0.003546356223523617,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,6,thinking_minus_no_think_answer,-0.003356846049427986,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,13,think_answer_minus_no_think_answer,0.00035165855661034584,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,13,thinking_minus_think_answer,-0.0020524743013083935,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,13,thinking_minus_no_think_answer,-0.0017008157446980476,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,20,think_answer_minus_no_think_answer,0.0001447722315788269,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,20,thinking_minus_think_answer,-0.0026111884508281946,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000307,20,thinking_minus_no_think_answer,-0.0024664162192493677,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,6,think_answer_minus_no_think_answer,0.0004432694986462602,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,6,thinking_minus_think_answer,-0.001995499711483717,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,6,thinking_minus_no_think_answer,-0.0015522302128374568,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,13,think_answer_minus_no_think_answer,4.5369844883680344e-05,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,13,thinking_minus_think_answer,-0.0005857786163687706,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,13,thinking_minus_no_think_answer,-0.0005404087714850903,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,20,think_answer_minus_no_think_answer,0.0004897182807326308,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,20,thinking_minus_think_answer,-0.0012616985477507114,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000325,20,thinking_minus_no_think_answer,-0.0007719802670180806,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,6,think_answer_minus_no_think_answer,0.0010374560952186593,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,6,thinking_minus_think_answer,-0.0007654065266251573,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,6,thinking_minus_no_think_answer,0.00027204956859350204,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,13,think_answer_minus_no_think_answer,0.0002882508561015129,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,13,thinking_minus_think_answer,-3.801612183451739e-05,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,13,thinking_minus_no_think_answer,0.0002502347342669955,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,20,think_answer_minus_no_think_answer,-0.0002551078796386719,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,20,thinking_minus_think_answer,-0.0001057363115251047,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000351,20,thinking_minus_no_think_answer,-0.00036084419116377657,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000361,6,think_answer_minus_no_think_answer,0.0024226889945566646,False,False
