model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking,sample_scope
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001209,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,48,48,0.0014959154883399605,0.0027180204900408476,0.0012142249615862966,0.013514876365661621,2.9453918509704534e-06,0.002599079845512801,0.041666666666666664,0.000867883119154816,0.0006637959353004894,0.0005155038088560104,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001307,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,40,40,0.0007245007436722517,0.003101071728451643,0.000747413607314229,0.012214907445013523,5.026319016585095e-06,0.002946780697526172,0.0,0.0001552750511952404,0.0002183027158025653,-0.00295080803334713,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001307,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,40,40,0.0011393683264032007,0.002836698351893574,0.001221158541738987,0.005960898008197546,1.3972419221748403e-06,0.0028018075196693344,0.0,-0.00064900056288646,-0.00037496511358767713,-0.00047349068336188793,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001307,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,40,40,0.0014959154883399605,0.0028041340003255753,0.0013238770188763738,0.0073787011206150055,1.8312685666125345e-06,0.0027567783030323116,0.075,4.264826733028232e-05,-7.706446340307585e-05,-0.00033917161636054516,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,answer_segment,think_answer,6,exp_c_segment_sample,46,46,0.0007245007436722517,0.0031771696749669704,0.0011171307414770126,0.009681256487965584,5.7626189137719104e-06,0.0031622849831668036,0.0,-0.003694342495399722,-0.003078970893208558,-0.004431096836924553,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,answer_segment,think_answer,13,exp_c_segment_sample,46,46,0.0011393683264032007,0.0027635294270863674,0.0010723634622991085,0.007177399471402168,1.6186137148217355e-06,0.0027602641532818474,0.021739130434782608,-0.0018958914821457448,-0.0015431164065375928,-0.002782757394015789,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,answer_segment,think_answer,20,exp_c_segment_sample,46,46,0.0014959154883399605,0.0026761343900073807,0.0012668091803789139,0.005432412959635258,4.910170034998425e-07,0.002648308979243867,0.021739130434782608,-0.0003362019372083919,-0.00039022561395540833,-0.005017031449824572,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,thinking_segment,thinking,6,exp_c_segment_sample,256,256,0.0007245007436722517,0.003422467469476942,0.0004509956343099475,0.049244679510593414,4.05691525652609e-05,0.003257083888045379,0.16796875,-0.0012626440845065004,-0.0011676591357172583,-0.004431096836924553,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,thinking_segment,thinking,13,exp_c_segment_sample,256,256,0.0011393683264032007,0.0029814105982950423,0.0007600898388773203,0.027799388393759727,1.2555138555058935e-05,0.0028913487771822805,0.13671875,-0.0012992932869311756,-0.0010922858682533843,-0.002782757394015789,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000007,think,canonical,,False,thinking_segment,thinking,20,exp_c_segment_sample,256,256,0.0014959154883399605,0.0033982514255512797,0.0010910432320088148,0.022748233750462532,5.612207670058741e-06,0.003334461426322455,0.11328125,-0.0010294501445116653,-0.0008702330524101853,-0.005017031449824572,per_model_kept_independent_plus_common_union
