model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,per_sample,45,45,0.0008460240205749869,0.003674424316139064,0.00038562220288440585,0.08430291712284088,0.00016051225793737957,0.002671447858367834,0.7333333333333333,0.0037796397629342427,0.001981942924127604
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,per_sample,45,45,0.0007353127584792674,0.0015501843370859408,0.0003510931273922324,0.01153928879648447,5.362051604179884e-06,0.0013564261945165606,0.6444444444444445,-0.0034078713018865546,-0.0026075694210400497
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,0.0005542729399167001,0.0015135488958786362,0.00040321890264749527,0.06716744601726532,3.827214693182085e-05,0.001224422049729089,0.3130434782608696,0.0020843710365839223,0.0012707144266861524
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,0.0008460240205749869,0.002086800716959102,0.000654414005111903,0.03307073935866356,1.2666672832000347e-05,0.0019993892632906834,0.23478260869565218,-0.002794577720096109,-0.002219741286886535
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,0.0007353127584792674,0.0014391713593479084,0.0005510716582648456,0.01530213188380003,2.273622288957732e-06,0.0013723089482243125,0.28695652173913044,4.754645449375994e-05,-5.074085242211322e-05
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,0.0005542729399167001,0.001400142983260119,0.0004001694906037301,0.05805898830294609,2.8542758615732924e-05,0.0011500317315885544,0.30434782608695654,0.0017548061208014069,0.0010709020716603843
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,per_sample,115,115,0.0005542729399167001,0.001400142983260119,0.0004001694906037301,0.05805898830294609,2.8542758615732924e-05,0.0011500317315885544,0.30434782608695654,0.0017548061208014069,0.0010709020716603843
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,0.0008460240205749869,0.0018415380967780949,0.0006484893383458257,0.020360756665468216,4.4588238054443216e-06,0.0017506579752080142,0.25217391304347825,-0.001549905962523664,-0.0012766811575194627
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,per_sample,115,115,0.0008460240205749869,0.0018415380967780949,0.0006484893383458257,0.020360756665468216,4.4588238054443216e-06,0.0017506579752080142,0.25217391304347825,-0.001549905962523664,-0.0012766811575194627
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,0.0007353127584792674,0.0013586528923200524,0.0005493070930242538,0.00960008054971695,1.1796734742034556e-06,0.0013161452115399012,0.2782608695652174,-0.00024026951545254603,-0.00022853027973002908
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,per_sample,115,115,0.0007353127584792674,0.0013586528923200524,0.0005493070930242538,0.00960008054971695,1.1796734742034556e-06,0.0013161452115399012,0.2782608695652174,-0.00024026951545254603,-0.00022853027973002908
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,0.0005542729399167001,0.0015065303621509963,0.00040080290636979043,0.06924673914909363,4.066398731479172e-05,0.0012083228893492281,0.2956521739130435,0.0022906797499440586,0.001430375440295079
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,0.0008460240205749869,0.0018632772667131023,0.0006321421242319047,0.02442675456404686,6.025800677673696e-06,0.0017549652313168182,0.25217391304347825,-0.0014573436410018313,-0.0012578455679086518
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,0.0007353127584792674,0.001376095171207967,0.0005372241139411926,0.011112922802567482,1.4867817533435886e-06,0.001326939917226698,0.28695652173913044,-0.00021377394095934633,-0.00023800540908143443
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,6,cross_model,42,42,0.0025156201329082253,0.007335552812686988,0.0020696718711405993,0.03568722680211067,3.6500782386354704e-05,0.006925865655719507,0.11904761904761904,0.0013255880204991657,-5.361689677970023e-05
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,13,cross_model,42,42,0.0031815045746043324,0.005522715670633174,0.0021047345362603664,0.011148395948112011,5.1271368753300104e-06,0.005470221703190629,0.11904761904761904,-9.246874582084188e-05,-0.0010255024006420917
